step;count_supply;gov_wealth;construction_wealth;company_wealth;bank_wealth;calculate_houses_prices_perm2;supply_volume;demand_volume;rental_supply_volume;rental_demand_volume;calculate_prices_in_supply;irs;vat;subsidyRate;salaryRate;births;breakups;deaths;children_leaving_home;n_of_households;subsidiesPaid;ivaCollected;irsCollected;companyServicesPaid;inheritagesFlow;constructionLabor;rawSalariesPaid;liquidSalariesReceived;expensesReceived;transactions_per_region;rents_per_region;number_of_houses_built_per_region;supply_per_bucket;demand_per_bucket;newly_built_houses_for_sale;mortgages_per_step;houses_for_sale;contractRents
10;9;1.1431854991550782e8;4.150352133814409e6;7.402874372114328e7;7.77905962984523e7;2077.3275965452076;Dict{HouseLocation, Int64}(Oeiras => 10);Dict{HouseLocation, Int64}(Oeiras => 100);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 92);1719.2401868509705;0.2;0.15;1.0;1.0;5;0;6;2;1218;151567.7652449168;309444.18737076916;1.4263742538421885e6;2.4e6;0.0;25906.466034699468;3.9092397635416673e6;2.482865509699477e6;1.7535170617676901e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0041, 166637.00281748682, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0034, 382.88525791484005, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 2, LessThan125 => 2, More => 2, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 10, LessThan125 => 15, More => 11, LessThan50 => 5));House[];Mortgage[Mortgage(137137.94519452375, 128904.91599943128, 26, 0x0138)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0049, Oeiras, NotSocialNeighbourhood, 1.0, 48), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0034, Oeiras, NotSocialNeighbourhood, 1.0, 43), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.163310478433202)
11;10;1.1355929746521007e8;4.124445667779709e6;7.429211019115278e7;7.767750505790053e7;2072.326191352897;Dict{HouseLocation, Int64}(Oeiras => 11);Dict{HouseLocation, Int64}(Oeiras => 100);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 94);1842.1707437494865;0.2;0.15;1.0;1.0;4;1;1;0;1220;151682.34005791685;312716.06400903274;1.425783453267187e6;2.4e6;0.0;25906.466034699468;3.908691226041669e6;2.482907772774474e6;1.7720576960511806e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0049, 141787.14491375582, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0052, 971.4522519583423, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 2, LessThan125 => 3, More => 2, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 5, LessThan125 => 17, More => 10, LessThan50 => 10));House[];Mortgage[Mortgage(123026.12122062822, 119175.36619896992, 25, 0x01d4)];House[House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0034, Oeiras, NotSocialNeighbourhood, 1.0, 43), House(0x0052, Oeiras, NotSocialNeighbourhood, 1.0, 100), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0046, Oeiras, NotSocialNeighbourhood, 1.0, 42)];Dict{HouseLocation, Float64}(Oeiras => 5.185515356187307)
12;8;1.1300663428931503e8;3.9165392017450095e6;7.452915451377206e7;7.748804024145314e7;2104.3527984572906;Dict{HouseLocation, Int64}(Oeiras => 11);Dict{HouseLocation, Int64}(Oeiras => 94);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 95);1637.753116481072;0.21000000000000002;0.16;0.99;1.0;5;0;0;2;1222;152577.9114439169;313068.47623427253;1.426673023767189e6;2.376e6;0.0;25906.466034699468;3.913010376041671e6;2.4863373522744747e6;1.7740546986608782e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0034, 101920.7422066799, Oeiras), Transaction(0x0052, 252826.1188520943, Oeiras), Transaction(0x0070, 239065.92215859547, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 1, LessThan125 => 2, More => 2, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 5, LessThan125 => 11, More => 13, LessThan50 => 6));House[];Mortgage[Mortgage(82874.28713714033, 78154.20960175792, 24, 0x012c), Mortgage(76822.76663060987, 73755.37782537584, 24, 0x0180), Mortgage(40009.31143873284, 27360.4311022376, 24, 0x0048)];House[House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0055, Oeiras, NotSocialNeighbourhood, 1.0, 57), House(0x0046, Oeiras, NotSocialNeighbourhood, 1.0, 42), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.198556064582978)
13;8;1.124612689886928e8;3.73523273571031e6;7.479379709726909e7;7.739219869140899e7;2095.024628707374;Dict{HouseLocation, Int64}(Oeiras => 8);Dict{HouseLocation, Int64}(Oeiras => 105);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 94);1629.5670917292375;0.21000000000000002;0.16;0.99;1.0;1;0;2;2;1223;151289.35508337757;343982.2857455343;1.4283109234828127e6;2.376e6;0.0;25906.466034699468;3.917264416666672e6;2.4889534931838517e6;1.8059070001640557e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0046, 127062.56753469128, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 1, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 2, More => 2, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 7, LessThan125 => 16, More => 11, LessThan50 => 10));House[House(0x0032, Oeiras, NotSocialNeighbourhood, 1.0, 22)];Mortgage[Mortgage(108593.81619653825, 105572.80824710637, 23, 0x01d4)];House[House(0x0055, Oeiras, NotSocialNeighbourhood, 1.0, 57), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0032, Oeiras, NotSocialNeighbourhood, 1.0, 22)];Dict{HouseLocation, Float64}(Oeiras => 5.176394655856859)
14;6;1.1194860704400118e8;3.6106490968894437e6;7.505653089511147e7;7.718755131985529e7;2086.0962151677727;Dict{HouseLocation, Int64}(Oeiras => 8);Dict{HouseLocation, Int64}(Oeiras => 102);Dict{HouseLocation, Int64}(Oeiras => 2);Dict{HouseLocation, Int64}(Oeiras => 96);1474.0286098069728;0.21000000000000002;0.16;0.99;1.0;3;0;5;3;1225;151372.93336200758;343716.57954936026;1.4282597824242709e6;2.376e6;0.0;36138.273484394645;3.9177782447916693e6;2.4895184623673917e6;1.8045120426341419e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0055, 179207.10797367175, Oeiras), Transaction(0x0032, 89354.63466352885, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0052, 959.280839527757, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 1, More => 2, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 7, LessThan125 => 12, More => 16, LessThan50 => 10));House[];Mortgage[Mortgage(148466.71494769258, 141248.1091311738, 22, 0x0138), Mortgage(69257.14106498887, 65889.78696475622, 22, 0x0138)];House[House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82)];Dict{HouseLocation, Float64}(Oeiras => 5.205541514868243)
15;5;1.1154574997358236e8;3.2906376134110396e6;7.5286842145892e7;7.68209314128985e7;2031.1395726193705;Dict{HouseLocation, Int64}(Oeiras => 8);Dict{HouseLocation, Int64}(Oeiras => 101);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 97);1487.5614791585842;0.21000000000000002;0.16;0.99;1.0;5;0;0;1;1227;151880.88084336754;339751.41741063836;1.4327869093167712e6;2.376e6;0.0;52611.48347840388;3.929383690625004e6;2.496596781308232e6;1.783694941405853e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0059, 130635.30267554497, Oeiras), Transaction(0x00ed, 304182.2122937342, Oeiras), Transaction(0x0059, 136042.54078274636, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 1, More => 1, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 11, LessThan125 => 11, More => 10, LessThan50 => 10));House[];Mortgage[Mortgage(112377.50535331327, 109350.52100926705, 21, 0x01bc), Mortgage(151466.98204406234, 143199.49098560013, 21, 0x0114), Mortgage(116728.33656967695, 113843.11268696135, 21, 0x01d4)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.205541514868243)
16;4;1.1110548009933347e8;3.0168261299326355e6;7.558217719020824e7;7.675508475382507e7;2014.4889813210757;Dict{HouseLocation, Int64}(Oeiras => 6);Dict{HouseLocation, Int64}(Oeiras => 101);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 97);1532.4980787982727;0.21000000000000002;0.16;0.99;1.0;6;0;0;2;1229;152712.48084336746;352469.08641739364;1.43289990353656e6;2.376e6;0.0;52611.48347840388;3.9311276593750026e6;2.498227755838435e6;1.850462703691317e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0030, 55060.2863390191, Oeiras), Transaction(0x001f, 70756.4886923931, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0038, 264.5831649289724, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 1, More => 1, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 7, LessThan125 => 15, More => 16, LessThan50 => 10));House[];Mortgage[Mortgage(31331.32704911057, 29380.53811375594, 20, 0x00f0), Mortgage(49836.80986265799, 43298.83418084059, 20, 0x0084)];House[House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10)];Dict{HouseLocation, Float64}(Oeiras => 5.203944032671777)
17;2;1.1059573690049362e8;2.8690146464542313e6;7.589195251005098e7;7.62830372632713e7;2005.1163955106126;Dict{HouseLocation, Int64}(Oeiras => 4);Dict{HouseLocation, Int64}(Oeiras => 96);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 96);1166.3376547990397;0.21000000000000002;0.16;0.99;1.0;4;1;1;0;1230;153410.7467528625;354855.825803457;1.4319396990665633e6;2.376e6;45817.17987237633;52611.48347840388;3.9292177656250023e6;2.497278066558432e6;1.8629930854681495e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0070, 276068.4025930206, Oeiras), Transaction(0x00ed, 281835.20460455696, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 9, LessThan125 => 13, More => 14, LessThan50 => 5));House[];Mortgage[Mortgage(240701.06672599036, 233529.4349654617, 19, 0x0180), Mortgage(247240.6345526909, 231721.51427653898, 19, 0x00e4)];House[House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2)];Dict{HouseLocation, Float64}(Oeiras => 5.209109238091209)
18;2;1.0997035058765836e8;2.739403162975827e6;7.620081974353637e7;7.618282118041442e7;2015.5419279328246;Dict{HouseLocation, Int64}(Oeiras => 4);Dict{HouseLocation, Int64}(Oeiras => 98);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 97);1154.6742782510494;0.21000000000000002;0.16;0.99;1.0;3;0;0;2;1232;153906.09750986253;355912.4337591583;1.4337037558740638e6;2.376e6;-45817.17987237633;52611.48347840388;3.935673043750006e6;2.5019692878759317e6;1.8685402772355801e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0067, 286348.2364894349, Oeiras), Transaction(0x0028, 66721.0074734914, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 10, LessThan125 => 16, More => 10, LessThan50 => 7));House[];Mortgage[Mortgage(65721.67448274503, 64279.08321541076, 18, 0x01bc), Mortgage(52499.534631608185, 50966.91310026331, 18, 0x0174)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.209109238091209)
19;3;1.0946251564446433e8;2.543991679497423e6;7.652077243253398e7;7.620121459533057e7;2015.5419279328246;Dict{HouseLocation, Int64}(Oeiras => 3);Dict{HouseLocation, Int64}(Oeiras => 106);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 97);1301.6199721480307;0.21000000000000002;0.16;0.99;1.0;1;1;3;4;1235;152714.5033549574;359448.3498884914;1.4377345258646887e6;2.376e6;0.0;52611.48347840388;3.9431511479166714e6;2.505416622051972e6;1.8871038369145822e6;Dict{Any, Any}(Oeiras => Transaction[]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0028, 270.00553015365796, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 1, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 15, LessThan125 => 17, More => 12, LessThan50 => 9));House[];Mortgage[];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 19)];Dict{HouseLocation, Float64}(Oeiras => 5.214228935817953)
20;3;1.0900064548169093e8;2.308324117739661e6;7.685221486120825e7;7.604180008636345e7;2012.6150725096566;Dict{HouseLocation, Int64}(Oeiras => 4);Dict{HouseLocation, Int64}(Oeiras => 96);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 101);1474.21890435331;0.21000000000000002;0.16;0.99;1.0;3;0;1;2;1237;153430.42624643253;363171.0304617576;1.4395514305746874e6;2.376e6;0.0;60667.56175776158;3.95120548125e6;2.511654050675307e6;1.906647909924223e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0070, 178056.7521691462, Oeiras), Transaction(0x001a, 60125.25446627918, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 1, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 13, LessThan125 => 11, More => 14, LessThan50 => 4));House[House(0x0097, Oeiras, NotSocialNeighbourhood, 1.0, 58)];Mortgage[Mortgage(148398.0112550761, 143799.33074479207, 16, 0x0144), Mortgage(29409.912628189068, 28324.446647214474, 16, 0x0120)];House[House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0097, Oeiras, NotSocialNeighbourhood, 1.0, 58)];Dict{HouseLocation, Float64}(Oeiras => 5.214228935817953)
21;4;1.0857922543343581e8;2.0289514121447543e6;7.716198226230922e7;7.606089969003838e7;2012.6150725096566;Dict{HouseLocation, Int64}(Oeiras => 3);Dict{HouseLocation, Int64}(Oeiras => 106);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 101);1752.2443364823328;0.21000000000000002;0.16;0.99;1.0;6;0;0;4;1241;154860.58539839264;360177.60616207914;1.4415375230746882e6;2.376e6;0.0;45572.70559490667;3.9571650312500005e6;2.5156275081753125e6;1.8909324323509128e6;Dict{Any, Any}(Oeiras => Transaction[]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 1));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 1, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 14, LessThan125 => 15, More => 14, LessThan50 => 9));House[House(0x0097, Oeiras, NotSocialNeighbourhood, 1.0, 58), House(0x0027, Oeiras, NotSocialNeighbourhood, 1.0, 89)];Mortgage[];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0097, Oeiras, NotSocialNeighbourhood, 1.0, 58), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0027, Oeiras, NotSocialNeighbourhood, 1.0, 89)];Dict{HouseLocation, Float64}(Oeiras => 5.214228935817953)
